[Name]
Series 1 at eksen

[Data]
X [ m ],Pressure [ Pa ]
5.00201273e+00, 2.99489316e+04
5.01403666e+00, 2.95776953e+04
5.02606058e+00, 2.92065879e+04
5.03808451e+00, 2.88357383e+04
5.05010843e+00, 2.84649063e+04
5.06213236e+00, 2.80955371e+04
5.07415628e+00, 2.77257148e+04
5.08618021e+00, 2.73561660e+04
5.09820414e+00, 2.69872500e+04
5.11022806e+00, 2.66185996e+04
5.12225199e+00, 2.62505039e+04
5.13427591e+00, 2.58825449e+04
5.14629984e+00, 2.55146855e+04
5.15832376e+00, 2.51471621e+04
5.17034769e+00, 2.47800703e+04
5.18237162e+00, 2.44134805e+04
5.19439554e+00, 2.40472637e+04
5.20641947e+00, 2.36809648e+04
5.21844339e+00, 2.33150195e+04
5.23046732e+00, 2.29497207e+04
5.24249125e+00, 2.25849648e+04
5.25451517e+00, 2.22196641e+04
5.26653910e+00, 2.18555156e+04
5.27856302e+00, 2.14912559e+04
5.29058695e+00, 2.11273867e+04
5.30261087e+00, 2.07636465e+04
5.31463480e+00, 2.03999375e+04
5.32665873e+00, 2.00365449e+04
5.33868265e+00, 1.96737559e+04
5.35070658e+00, 1.93108750e+04
5.36273050e+00, 1.89482520e+04
5.37475443e+00, 1.85862344e+04
5.38677835e+00, 1.82240430e+04
5.39880228e+00, 1.78629297e+04
5.41082621e+00, 1.75014629e+04
5.42285013e+00, 1.71404668e+04
5.43487406e+00, 1.67799707e+04
5.44689798e+00, 1.64194961e+04
5.45892191e+00, 1.60590449e+04
5.47094584e+00, 1.56988760e+04
5.48296976e+00, 1.53389238e+04
5.49499369e+00, 1.49792236e+04
5.50701761e+00, 1.46198828e+04
5.51904154e+00, 1.42607578e+04
5.53106546e+00, 1.39014580e+04
5.54308939e+00, 1.35422559e+04
5.55511332e+00, 1.31834668e+04
5.56713724e+00, 1.28250225e+04
5.57916117e+00, 1.24663623e+04
5.59118509e+00, 1.21086533e+04
5.60320902e+00, 1.17508154e+04
5.61523294e+00, 1.13930996e+04
5.62725687e+00, 1.10357734e+04
5.63928080e+00, 1.06787314e+04
5.65130472e+00, 1.03217852e+04
5.66332865e+00, 9.96483398e+03
5.67535257e+00, 9.60794922e+03
5.68737650e+00, 9.25044824e+03
5.69940042e+00, 8.89392773e+03
5.71142435e+00, 8.53689844e+03
5.72344828e+00, 8.18005176e+03
5.73547220e+00, 7.82328369e+03
5.74749613e+00, 7.46659863e+03
5.75952005e+00, 7.10995752e+03
5.77154398e+00, 6.75340527e+03
5.78356791e+00, 6.39697949e+03
5.79559183e+00, 6.04065332e+03
5.80761576e+00, 5.68446338e+03
5.81963968e+00, 5.32840137e+03
5.83166361e+00, 4.97244531e+03
5.84368753e+00, 4.61656201e+03
5.85571146e+00, 4.26076025e+03
5.86773539e+00, 3.90523022e+03
5.87975931e+00, 3.54955859e+03
5.89178324e+00, 3.19367090e+03
5.90380716e+00, 2.83793506e+03
5.91583109e+00, 2.48224927e+03
5.92785501e+00, 2.12677441e+03
5.93987894e+00, 1.77152039e+03
5.95190287e+00, 1.41742053e+03
5.96392679e+00, 1.06199890e+03
5.97595072e+00, 7.06695313e+02
5.98797464e+00, 3.53603638e+02
5.99999857e+00, 4.57496376e+01


